@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,9/11/2021 16:00,,0,0,0,0,0,0.016227778,0.025399998,0,0.025399998,,0.015875,,0.004233333,,,0,0.034572222,0,0,0,0,0,0
,9/11/2021 17:00,,0,0,0,0,0,0.01481667,0.133702775,0.147461115,0.125236117,,0.041980557,,0.031044444,,,0.012700001,0.086783332,0.04621389,0.134761114,0.04621389,0.286808344,0.071261112,0.122413895
,9/11/2021 18:00,,0,0,0,0,0,0,0.045508335,0.056091666,0.045508335,,0.015875,,0.015875,,,0.025400003,0,0.020108334,0.056091666,0.020108334,0.116416667,0.039863894,0.059384262
,9/11/2021 19:00,,0,0,0,0,0,0,0.012700003,0.009524998,0.012700003,,0.022225002,,0.022225002,,,0,0,0.012700003,0.009524998,0.012700003,0.015875,0.038452784,0.034101856
,9/12/2021 6:00,,0.3,0,0,0,0,0.373238911,0.10371667,0.08607778,0.10900834,,0.348544455,,0.357011127,,,0.059266671,0.482600018,0.072319443,0.08466667,0.072319443,0.069497223,0,0.067733336
,9/12/2021 7:00,,0.9,0.3,0,0,0.9,0.766938934,0.778580578,0.763058365,0.779638919,,0.910519488,,0.852663917,,,0.872772275,0.847019489,0.713669461,0.756002816,0.716844465,0.860777803,0.763058358,0.889352795
,9/12/2021 8:00,,0.6,0.4,0.6,0.6,0.6,0.800100046,0.693561136,0.836788912,0.709788916,,0.836436157,,0.848430585,,,0.679802816,0.873477823,1.107016708,0.825147259,1.114072257,0.786341716,0.976136128,0.900994486
,9/12/2021 9:00,,0,0.2,0,0,0,0.180622245,0.086430549,0.127352776,0.082197221,,0.172155565,,0.199672224,,,0.051858334,0.198613895,0.123472231,0.109361123,0.124530563,0.035983339,0.086783336,0.073730556
,9/12/2021 11:00,,0,0,0,0,0,0,0,0.018344447,0,,0.015522224,,0.012700001,,,0,0.019755557,0.02398889,0.02257778,0.02398889,0,0.042333333,0.042333333
,9/12/2021 12:00,,0,0,0,0,0,0.045155558,0.051152779,0.132997229,0.044097222,,0.14181667,,0.150988906,,,0.026458333,0.200730573,0.069497237,0.104775006,0.069497237,0.052916667,0.084313895,0.022930559
,9/12/2021 13:00,,4.8,4.2,4.8,5.1,2.7,3.517900101,3.0377695,3.595158351,2.717447276,,2.718505588,,2.095500104,,,1.930752797,2.28282507,3.345391813,3.559880648,3.328458482,2.19780562,2.796822247,2.359730651
,9/12/2021 14:00,,0.3,0,0,0,0,0.111477786,0.222955573,0.227188898,0.230011121,,0.076200001,,0,,,0.255411132,0.10865556,0.122766678,0.218722229,0.125588911,0.251177809,0.155574999,0.181327783
,9/12/2021 16:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0.033866668,0,0,0,0,0,0,0
,9/13/2021 5:00,,0,0,0,0,0,0.105833353,0.084666667,0.118533351,0.088900016,,0.215900006,,0.118533341,,,0.084666667,0,0.160866665,0.118533351,0.160866665,0.101600004,0.173566673,0.148166667
,9/13/2021 6:00,,0,0,0.1,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/13/2021 7:00,,0,0,0.2,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/13/2021 20:00,,0.3,0,0,0,0,0.270933344,0.081844447,0.217311113,0.079022228,,0.203200008,,0.194733336,,,0.111477779,0.31185556,0.183444452,0.208844454,0.183444452,0.088900003,0.174977779,0.184855561
,9/13/2021 21:00,,1.7,0,0,0,0.4,0,0.009172222,0.011641667,0.009172222,,0.020108333,,0.018344444,,,0,0.162277785,0.014111111,0.010583333,0.014111111,0.015522223,0.019050002,0.017638889
,9/13/2021 22:00,,4.6,0.9,1.2,1.5,1.4,4.248855722,1.35255002,1.199091689,1.023761136,,2.453569495,,3.323166792,,,0.69991114,3.681589002,1.875366744,0.915105574,1.913113977,0.893586132,1.1420593,1.313156497
,9/13/2021 23:00,,0,0.3,0,0,0,0.025400006,0.029633335,0,0.029633335,,0.025400006,,0.040922231,,,0.155222223,0.107244449,0.0493889,0,0.052563898,0.139347234,0.063735192,0.076082408
,9/14/2021 0:00,,0,0,0.3,0.3,0,0,0,0.022577779,0,,0,,0,,,0,0.002116667,0,0.022107407,0,0,0,0.015522224
,9/14/2021 1:00,,0,0,0,0,0.3,0.06067778,0.024459265,0.09172223,0.025400006,,0.090311112,,0.043744443,,,0.031514816,0.130527785,0.121355555,0.090781486,0.121355555,0.32808334,0.221897226,0.329847235
,9/14/2021 2:00,,0.3,0,0,0.3,0.3,0,0.009407407,0,0.011288889,,0,,0,,,0.037629629,0.062088897,0,0,0,0.162983336,0.089958342,0.16263056
